# word	score	pos
南京	8	ns
南京市	20	ns
长江	8	ns
长江大桥	20	n
研究	15	v
生命	15	n
起源	15	n
中国科学院	20	nt
科学院	15	n
计算技术	15	n
技术研究所	20	n
研究所	15	n
我	8	r
我们	20	r
在	8	p
使用	15	v
模型	15	n
天安门	20	ns
市长	20	n
春节前	18	t
男款	20	n
运动	15	n
百搭	20	a
纯色	15	a
中筒袜	20	n
磁吸	20	n
onnxruntime-gpu	20	nx
GPT-5.5	20	nx
OpenAI	15	nx
多模态	15	n
MagSafe	15	nx
Python3.11	20	nx
Windows	15	nx
计算所	15	n

# traditional / mixed Chinese overlay
臺灣	20	ns
台灣	20	ns
使用者	18	n
登入	18	v
系統	18	n
顯示	18	v
後臺	18	n
後台	18	n
數據	18	n
資料庫	20	n
繁體	18	n
東京	18	ns
檢索	18	v
實驗	18	n
我們	20	r
用戶	18	n
訂單	18	n
狀態	18	n
後端	18	n
服務	18	n
連接	18	v
失敗	18	v
混合檢索	20	n
關鍵詞	18	n
手機	18	n
應用程式	20	n
帳號	18	n
資訊	18	n
支援	18	v
輸出	18	v
這款	18	r
資料	18	n
中文	15	n
正常	15	a
發布	18	v
發佈	18	v
研究報告	18	n
二甲双胍	18	n
二甲雙胍	18	n
血糖	15	n

# reviewed NexaloidData candidates
中级人民法院	16.3863	n
信息披露	16.3863	n
发展规划	16.3863	n
国家安全	16.3863	n
国家法律	16.3863	n
对价	16.3863	n
建设用地	16.3863	n
新材料	16.3863	n
有关部门	16.3863	n
有限责任公司	16.3863	n
权利人	16.3863	n
注册会计师	16.3863	n
证券交易所	16.3863	n
试驾	16.3863	n
首席执行官	16.3286	n
合同约定	16.3228	n
国家主席	16.2134	n
北京现代	16.1779	n
国家公务员	16.1767	n
乐风	16.1706	n
授权委托书	16.1197	n
实例化	16.0942	n
经营许可证	16.0783	n
父类	16.0533	n
商业贿赂	16.0408	n
房地产开发企业	16.0367	n
按揭贷款	16.0100	n
东风日产	15.9963	n
业主委员会	15.9838	n
资产负债表	15.9424	n
汽车零部件	15.9249	n
个体工商户	15.9193	n
加工贸易	15.9146	n
中签	15.8828	n
类名	15.8790	n
委托代理人	15.8638	n
官网	15.8133	n
法律文件	15.8129	n
人民医院	15.8105	n
成员变量	15.7935	n
变更登记	15.7749	n
排放标准	15.7574	n
执行董事	15.6883	n
农村信用社	15.6765	n
房屋拆迁	15.6563	n
发展研究中心	15.6486	n
执业证	15.6134	n
现代企业制度	15.5954	n
土地出让金	15.5947	n
时间复杂度	15.5500	n
应急预案	15.5480	n
股份制企业	15.5380	n
乐骋	15.5288	n
商业企业	15.5146	n
改革试点	15.5090	n
特别规定	15.4691	n
一级市场	15.4459	n
刑事辩护	15.4273	n
自动变速箱	15.4220	n
虚假广告	15.4191	n
内幕交易	15.4138	n
剥夺政治权利	15.4060	n
招标投标	15.4040	n
小产权房	15.3703	n
显式	15.3458	n
房地产市场	15.3454	ns
要约收购	15.3442	n
汽车价格	15.2996	n
吸收合并	15.2993	n
专门委员会	15.2800	n
房地产开发公司	15.2767	n
抛出异常	15.2746	n
业务逻辑	15.2357	n
价值判断	15.2304	n
国家工作人员	15.2265	n
成员函数	15.2234	n
数据存储	15.2233	n
区公安分局	15.2176	n
可执行	15.2145	n
结构优化	15.1932	n
新闻办公室	15.1903	n
市公安局	15.1889	ns
方法名	15.1862	n
线程安全	15.1767	n
民事行为能力	15.1744	n
村民委员会	15.1684	n
命名空间	15.1626	n
经济价值	15.1373	n
前手	15.1326	n
东风本田	15.1273	n
东风悦达起亚	15.1114	n
示例代码	15.1111	n
公司合并	15.0965	n
年会	15.0909	n
新版本	15.0887	n
副主席	15.0886	n
品牌汽车	15.0879	n
国家产业政策	15.0770	n
工作原理	15.0561	n
开发环境	15.0552	n
社会治安综合治理	15.0419	n
系统调用	15.0400	n
数据集	15.0392	n
道路交通安全法	15.0390	n
富春	15.0354	n
贵州茅台	15.0305	n
日志文件	15.0271	n
持久化	15.0267	n
地方性法规	15.0239	n
侵犯版权	15.0000	n
公司董事会	15.0000	n
药品监督管理	15.0000	n
队伍建设	15.0000	n
青团	15.0000	n
元和	14.9819	ns
安全监督	14.9800	n
股权转让协议	14.9730	n
静态变量	14.9655	n
常任理事国	14.9637	n
基本类型	14.9593	n
迭代器	14.9547	n
天津一汽	14.9538	n
类继承	14.9535	n
正常运行	14.9436	n
企业效益	14.9424	n
棉花糖	14.9350	n
严重程度	14.9301	n
构造器	14.9290	n
源通	14.9203	n
内部类	14.9146	n
土地利用总体规划	14.9036	n
数据库连接	14.9034	n
大数据	14.8765	n
仲裁机构	14.8745	n
线程池	14.8743	n
时间戳	14.8736	n
元数据	14.8674	n
建设用地使用权	14.8651	n
输入流	14.8578	n
被拆迁人	14.8374	n
结果集	14.8316	n
承包经营权	14.8259	n
职工代表大会	14.8200	n
解决方法	14.8116	n
开发过程	14.8113	n
运行环境	14.8112	n
泛型	14.8058	n
输出流	14.8046	n
子节点	14.8037	n
炸食	14.8008	n
颐达	14.7964	n
艺术学院	14.7943	ns
套接字	14.7874	n
时间间隔	14.7763	n
和谐发展	14.7723	n
仲裁裁决	14.7694	n
转让合同	14.7625	n
产品质量监督	14.7606	n
新京报	14.7518	n
出口加工区	14.7452	n
汽车销售服务	14.7436	n
存储过程	14.7428	n
类方法	14.7388	n
假冒伪劣产品	14.7329	n
负载均衡	14.7258	n
宏定义	14.7231	n
异常处理	14.7201	n
大富豪	14.7179	n
一汽马自达	14.7152	n
休闲车	14.7089	n
国家机关工作人员	14.7056	n
一审法院	14.7036	n
法律监督	14.6964	n
登记制度	14.6905	n
执行时间	14.6870	n
产权登记	14.6806	n
岳阳	14.6743	ns
子树	14.6722	n
垃圾回收	14.6604	n
二维数组	14.6596	n
父节点	14.6576	n
逍客	14.6552	n
保险事故	14.6490	n
二进制文件	14.6457	n
执法行为	14.6447	n
可转换债券	14.6397	n
析构函数	14.6371	n
规模效益	14.6324	n
土地承包经营权	14.6289	n
回滚	14.6260	n
证券投资基金法	14.6257	n
注销登记	14.6197	n
运行时间	14.6186	n
法律地位	14.6115	n
高雄	14.6108	ns
仪表台	14.6096	n
国有股减持	14.6081	n
指定位置	14.6075	n
单例模式	14.6055	n
消息队列	14.6022	n
抽象方法	14.5975	n
市场参与者	14.5967	n
地址空间	14.5928	n
法律职业	14.5893	n
马仔	14.5877	n
违法经营	14.5876	n
金鹰	14.5831	n
用户信息	14.5813	n
机器学习	14.5748	n
房屋权属	14.5744	n
经济贸易委员会	14.5711	n
利用职务之便	14.5688	n
高亮	14.5647	n
类定义	14.5645	n
引用类型	14.5617	n
小排量汽车	14.5544	n
土地登记	14.5539	n
酷路泽	14.5520	n
新特性	14.5509	n
职业安全	14.5490	n
代理协议	14.5433	n
测试类	14.5414	n
工业增加值	14.5403	n
管理学院	14.5398	ns
汽车俱乐部	14.5387	n
字符数组	14.5366	n
人民政治协商会议	14.5158	n
发生法律效力	14.5152	n
证券业协会	14.5080	n
先占	14.5057	n
中国二手车城	14.5054	n
学位委员会	14.5038	n
连接数据库	14.5037	n
企业制度	14.4975	n
实用新型专利	14.4908	n
函数体	14.4894	n
实例变量	14.4822	n
常用方法	14.4807	n
子进程	14.4771	n
动态规划	14.4760	n
财产保全	14.4747	n
数据库表	14.4657	n
安全生产法	14.4620	n
意大利面	14.4609	n
线段树	14.4575	n
文件描述符	14.4558	n
字节流	14.4516	n
社会团体	14.4514	n
松风	14.4490	n
专有技术	14.4478	n
非阻塞	14.4446	n
强制转换	14.4368	n
物理内存	14.4354	n
移动设备	14.4336	n
对象引用	14.4325	n
违法广告	14.4300	n
内存泄漏	14.4293	n
标准输出	14.4276	n
赢利能力	14.4240	n
披露制度	14.4104	n
企业合并	14.3987	n
中医药管理局	14.3935	n
收购兼并	14.3893	n
前保	14.3883	n
英菲尼迪	14.3855	n
泸州老窖	14.3843	n
法治国家	14.3839	n
网购	14.3833	n
银行承兑汇票	14.3826	n
新开工项目	14.3818	n
操纵市场	14.3766	n
规范性文件	14.3763	n
国珍	14.3686	n
解耦	14.3680	n
汽车销售服务有限公司	14.3634	n
非法行医	14.3618	n
工商营业执照	14.3609	n
首席运营官	14.3588	n
西湖龙井	14.3530	n
保险代理人	14.3510	n
公路客运	14.3463	n
虚函数	14.3450	n
自适应	14.3444	n
释放资源	14.3428	n
响应时间	14.3425	n
生产环境	14.3395	n
煮鸡蛋	14.3378	n
32位	14.3325	n
违约行为	14.3289	n
企业家协会	14.3285	n
非专业人士	14.3254	n
从重处罚	14.3193	n
治安管理处罚法	14.3183	n
快速排序	14.3146	n
制定法	14.3097	n
一对多	14.3079	n
性能优化	14.3052	n
法律文化	14.3048	n
伯顿	14.3031	n
数据访问	14.3011	n
配置项	14.2925	n
污水处理厂	14.2899	ns
协议转让	14.2858	n
修改文件	14.2844	n
农民集体	14.2816	n
大陆法	14.2808	n
妇女权益	14.2788	n
占位符	14.2786	n
股东大会议事规则	14.2774	n
应用开发	14.2772	n
特别授权	14.2765	n
双鹤	14.2751	n
标准输入	14.2740	n
下载地址	14.2705	n
空间复杂度	14.2688	n
旅游合同	14.2619	n
白茶	14.2573	n
外键	14.2396	n
远舰	14.2357	n
jar包	14.2354	n
数据转换	14.2352	n
高并发	14.2344	n
增值税发票	14.2325	n
小产权	14.2307	n
编译错误	14.2305	n
系统性能	14.2265	n
项目融资	14.2258	n
系统环境	14.2232	n
鸭脖	14.2218	n
信用保险	14.2213	n
国际条约	14.2206	n
一维数组	14.2195	n
空指针	14.2124	n
侵权产品	14.2113	n
完全民事行为能力	14.2065	n
郑州日产	14.2013	n
保存文件	14.1953	n
二审法院	14.1940	n
网络传播权	14.1883	n
属性值	14.1861	n
消除影响	14.1819	n
数据段	14.1787	n
房地产抵押	14.1749	n
自动生成	14.1713	n
工作流程	14.1706	n
产权制度改革	14.1693	n
起司	14.1690	n
二分查找	14.1677	n
实现类	14.1620	n
当前对象	14.1591	n
芽菜	14.1575	n
优化资源配置	14.1554	n
类图	14.1516	n
浮点型	14.1492	n
市纪委	14.1491	n
可行性报告	14.1463	n
鹅肝	14.1432	n
文化广场	14.1414	ns
日志记录	14.1319	n
数据库服务器	14.1316	n
国家机构	14.1270	n
安全问题	14.1244	n
保险监管	14.1230	n
消息处理	14.1227	n
军队转业干部	14.1219	n
系统设置	14.1112	n
财产分割	14.1100	n
资产保值增值	14.1073	n
豆皮	14.1053	n
函数返回	14.1050	n
实例方法	14.1022	n
国有独资公司	14.1015	n
价格欺诈	14.0999	n
注册会计师协会	14.0981	n
命名规则	14.0925	n
静态成员	14.0872	n
基本养老保险	14.0837	n
并查集	14.0809	n
离婚协议书	14.0801	n
大包围	14.0752	n
重做	14.0736	n
解百纳	14.0719	n
显示图片	14.0712	n
反序列化	14.0710	n
中高级车	14.0654	n
依赖注入	14.0628	n
关系型数据库	14.0584	n
交通大学	14.0572	ns
伪代码	14.0562	n
疾病预防控制中心	14.0529	n
监督体系	14.0523	n
多进程	14.0515	n
系统服务	14.0486	n
规范行为	14.0473	n
多核	14.0460	n
专利侵权	14.0412	n
新技术	14.0358	n
图片资源	14.0306	n
资本市场	14.0295	n
成员方法	14.0294	n
进程间通信	14.0253	n
未成年子女	14.0214	n
战争罪	14.0206	n
性能测试	14.0192	n
主线程	14.0181	n
可见性	14.0147	n
归并排序	14.0127	n
色香味俱全	14.0120	n
价格形成机制	14.0113	n
新凯越	14.0110	n
药品管理法	14.0078	n
肉粥	14.0062	n
二进制数	14.0048	n
子序列	14.0012	n
自动启动	13.9981	n
平衡发展	13.9978	n
副主任医师	13.9970	n
文件下载	13.9952	n
地方法	13.9945	n
土地使用权出让合同	13.9912	n
集合类	13.9908	n
未成年人保护法	13.9869	n
回调函数	13.9811	n
社会危害性	13.9800	n
返回结果	13.9787	n
授权经营	13.9757	n
云计算	13.9710	n
中华全国律师协会	13.9690	n
数据丢失	13.9663	n
析构	13.9662	n
风挡玻璃	13.9657	n
超类	13.9576	n
挪用公款罪	13.9519	n
婚前财产	13.9504	n
原子操作	13.9454	n
非银行金融机构	13.9446	n
强制性规定	13.9424	n
创建目录	13.9412	n
紧急救援	13.9398	n
64位	13.9366	n
目标对象	13.9333	n
人民币升值压力	13.9301	n
地方法规	13.9273	n
布局文件	13.9202	n
包名	13.9201	n
治安管理处罚条例	13.9188	n
对象模型	13.9187	n
经国务院批准	13.9179	n
网络犯罪	13.9167	n
国家工商总局	13.9165	ns
窗口大小	13.9143	n
表空间	13.9094	n
SQL语句	13.9091	n
Java代码	13.9082	n
企业兼并	13.9057	n
工厂模式	13.8974	n
聚类	13.8949	n
司法改革	13.8939	n
陆地巡洋舰	13.8902	n
用户权限	13.8877	n
代码实现	13.8870	n
注册商标专用权	13.8867	n
等待状态	13.8846	n
意外伤害	13.8826	n
国际经济法	13.8796	n
类型变量	13.8795	n
牛骨	13.8754	n
方法调用	13.8744	n
位运算	13.8705	n
用户态	13.8683	n
类加载	13.8671	n
树形结构	13.8657	n
支持环	13.8651	n
直接访问	13.8620	n

# reviewed NexaloidData candidates batch 2
人才市场	13.8592	ns
汽车贸易有限公司	13.8565	n
字典序	13.8513	n
强制拆迁	13.8481	n
覆写	13.8436	n
古井贡	13.8417	n
危害公共安全	13.8403	n
下拉列表	13.8352	n
设计思想	13.8345	n
观察者模式	13.8336	n
资源管理器	13.8335	n
安装方法	13.8328	n
无限循环	13.8284	n
业界动态	13.8236	n
中序遍历	13.8231	n
延迟加载	13.8214	n
发送邮件	13.8184	n
前缀和	13.8147	n
股改承诺	13.8076	n
耕地占用税	13.8068	n
双向链表	13.8048	n
子查询	13.8037	n
代码块	13.8034	n
选择排序	13.8012	n
工伤保险待遇	13.7993	n
执行通知书	13.7975	n
蛋挞	13.7968	n
表单提交	13.7966	n
系统设计	13.7920	n
保险监督管理委员会	13.7916	n
钱江	13.7898	ns
招标投标法	13.7889	n
涨跌停板	13.7884	n
工作区	13.7851	n
工业产权	13.7826	n
无害化处理	13.7816	n
当前路径	13.7755	n
夫妻分居	13.7753	n
关联关系	13.7749	n
植酸	13.7742	n
代理模式	13.7735	n
导入导出	13.7712	n
自定义控件	13.7698	n
无向图	13.7682	n
调用方法	13.7682	n
优先队列	13.7648	n
匿名内部类	13.7644	n
垃圾收集	13.7638	n
游戏开发	13.7632	n
安置补助费	13.7605	n
执行过程	13.7604	n
上新	13.7603	ns
当前版本	13.7593	n
请求处理	13.7541	n
一般法	13.7488	n
工具类	13.7487	n
海量数据	13.7481	n
退出程序	13.7480	n
重新运行	13.7448	n
内部职工股	13.7439	n
位或	13.7425	n
大数据量	13.7422	n
上清饮	13.7400	n
调试工具	13.7377	n
for循环	13.7370	n
测试机	13.7367	n
环境配置	13.7338	n
循环语句	13.7335	n
牵引力控制系统	13.7310	n
红黑树	13.7308	n
卫生行政部门	13.7304	n
眼肉	13.7276	n
深层次矛盾	13.7235	n
长安马自达	13.7223	n
经济承受能力	13.7212	n
反分裂国家法	13.7175	n
嵌入式系统	13.7173	n
昌河铃木	13.7169	n
文件路径	13.7139	n
新建项目	13.7110	n
前风挡	13.7069	n
无连接	13.7067	n
实施强制	13.7057	n
违禁物	13.7002	n
问题分析	13.6996	n
辣汤	13.6990	n
许可证制度	13.6975	n
双精度	13.6970	n
税收优惠政策	13.6969	n
国家电力公司	13.6962	n
第二人民医院	13.6958	ns
十进制数	13.6957	n
非法经营罪	13.6946	n
各级地方政府	13.6939	n
条件语句	13.6932	n
运行测试	13.6928	n
匿名函数	13.6917	n
类型参数	13.6917	n
i++	13.6895	n
类变量	13.6855	n
社会主义法治国家	13.6844	n
妇女权益保障	13.6818	n
对象名	13.6799	n
黑茶	13.6780	n
等待队列	13.6762	n
包装类	13.6751	n
长连接	13.6743	n
连锁经营协会	13.6732	n
四轮定位	13.6730	n
酒精饮料	13.6725	n
目的地址	13.6719	n
无民事行为能力	13.6710	n
设备驱动	13.6676	n
占用空间	13.6674	n
依赖关系	13.6630	n
键值对	13.6627	n
高位刹车灯	13.6616	n
数组类型	13.6605	n
中华人民共和国主席	13.6580	n
债权转让	13.6570	n
当前日期	13.6565	n
数据复制	13.6565	n
劳务派遣	13.6559	n
树状数组	13.6545	n
连接管	13.6536	n
类对象	13.6523	n
提拉米苏	13.6519	n
发送消息	13.6504	n
垃圾收集器	13.6504	n
任务管理器	13.6501	n
清单文件	13.6488	n
人均国内生产总值	13.6432	n
同步方法	13.6432	n
中断处理	13.6419	n
参数化	13.6410	n
抓包	13.6398	n
高亮显示	13.6357	n
国际贸易促进委员会	13.6348	n
宅基地使用权	13.6315	n
创新中心	13.6303	ns
卫生监督	13.6275	n
楼外楼	13.6273	n
车载电话	13.6268	n
配置信息	13.6257	n
提交事务	13.6256	n
项目文件	13.6244	n
参数类型	13.6244	n
城市房地产管理法	13.6243	n
xml文件	13.6215	n
自定义函数	13.6198	n
金耳	13.6195	n
符号链接	13.6193	n
天仁	13.6177	n
后台进程	13.6170	n
拆迁范围	13.6161	n
资源文件	13.6141	n
基本数据类型	13.6138	n
上海大众斯柯达	13.6133	n
并集	13.6119	n
全局函数	13.6108	n
执行计划	13.6103	n
数据绑定	13.6086	n
打开文件	13.6085	n
性能瓶颈	13.6075	n
建筑公司	13.6060	ns
互联网公司	13.6055	n
系统信息	13.6033	n
内存管理	13.6028	n
编译选项	13.5971	n
专利复审委员会	13.5968	n
限制民事行为能力	13.5965	n
高级语言	13.5963	n
发展计划委员会	13.5956	n
生物技术	13.5948	n
文件结构	13.5934	n
边距	13.5923	n
奶油蛋糕	13.5907	n
鹡鸰	13.5887	n
多重继承	13.5852	n
政府信息公开条例	13.5840	n
异步操作	13.5803	n
网络状态	13.5803	n
分业经营	13.5789	n
需求分析	13.5785	n
妇女联合会	13.5773	n
肉骨头	13.5757	n
应用场景	13.5751	n
错误日志	13.5738	n
涉案金额	13.5730	n
跳出循环	13.5726	n
逻辑运算符	13.5718	n
命名规范	13.5681	n
设计原则	13.5633	n
大小写敏感	13.5630	n
广播电影电视总局	13.5628	n
英美法系	13.5625	n
工商注册	13.5582	n
自定义属性	13.5577	n
时间片	13.5562	n
重用性	13.5558	n
连接建立	13.5553	n
服务器配置	13.5551	n
存储数据	13.5548	n
字符串处理	13.5531	n
点击事件	13.5528	n
摩托车配件	13.5524	n
盈余公积金	13.5515	n
药物治疗	13.5502	n
非法转让	13.5502	n
产品标识	13.5488	n
目录结构	13.5478	n
台湾事务办公室	13.5477	n
检测中心	13.5468	ns
应用程序开发	13.5465	n
医疗事故鉴定	13.5451	n
使用说明	13.5437	n
访问权限	13.5424	n
瓶颈制约	13.5410	n
事务性工作	13.5402	n
内存碎片	13.5399	n
海事法院	13.5398	n
重大责任事故	13.5388	n
妇女权益保障法	13.5378	n
数据加载	13.5377	n
国家监督	13.5373	n
白切	13.5344	n
设计思路	13.5344	n
远程连接	13.5339	n
远程仓库	13.5322	n
第一医院	13.5291	ns
董事会授权	13.5277	n
非法证券活动	13.5270	n
面向连接	13.5263	n
中央军事委员会主席	13.5241	n
远程调用	13.5238	n
深度学习	13.5226	n
公众号	13.5170	n
缓存文件	13.5154	n
表名	13.5136	n
产品经理	13.5122	n
类型安全	13.5115	n
三创	13.5073	n
高优先级	13.5072	n
权限控制	13.5069	n
重新鉴定	13.5065	n
离散化	13.5008	n
重新编译	13.4987	n
计算机视觉	13.4976	n
开源项目	13.4967	n
婚前协议	13.4931	n
占有人	13.4928	n
治国方略	13.4910	n
执行机关	13.4909	n
文件句柄	13.4906	n
静态函数	13.4892	n
全权代理	13.4885	n
花蛋糕	13.4869	n
网银	13.4863	n
美食之旅	13.4842	n
训练基地	13.4839	ns
校验和	13.4835	n
手动变速箱	13.4824	n
法律面前人人平等	13.4801	n
行政复议法	13.4789	n
属性设置	13.4787	n
捕获异常	13.4781	n
交投清淡	13.4765	n
劳动力市场	13.4747	ns
循环引用	13.4747	n
出队	13.4744	n
软链接	13.4735	n
死刑复核	13.4734	n
非专利技术	13.4734	n
记录日志	13.4731	n
妇幼保健院	13.4725	ns
医疗中心	13.4719	ns
保险经纪人	13.4711	n
临界区	13.4690	n
商业银行法	13.4683	n
行政强制措施	13.4681	n
继承遗产	13.4674	n
上传图片	13.4666	n
上下文切换	13.4663	n
